LOCATION	DATE	VACCINATION						
India	30-01-2020	NULL						
India	31-01-2020	NULL						
India	01-02-2020	NULL						
India	02-02-2020	NULL						
India	03-02-2020	NULL						
India	04-02-2020	NULL						
India	05-02-2020	NULL						
India	06-02-2020	NULL						
India	07-02-2020	NULL						
India	08-02-2020	NULL						
India	09-02-2020	NULL						
India	10-02-2020	NULL						
India	11-02-2020	NULL						
India	12-02-2020	NULL						
India	13-02-2020	NULL						
India	14-02-2020	NULL						
India	15-02-2020	NULL						
India	16-02-2020	NULL						
India	17-02-2020	NULL						
India	18-02-2020	NULL						
India	19-02-2020	NULL						
India	20-02-2020	NULL						
India	21-02-2020	NULL						
India	22-02-2020	NULL						
India	23-02-2020	NULL						
India	24-02-2020	NULL						
India	25-02-2020	NULL						
India	26-02-2020	NULL						
India	27-02-2020	NULL						
India	28-02-2020	NULL						
India	29-02-2020	NULL						
India	01-03-2020	NULL						
India	02-03-2020	NULL						
India	03-03-2020	NULL						
India	04-03-2020	NULL						
India	05-03-2020	NULL						
India	06-03-2020	NULL						
India	07-03-2020	NULL						
India	08-03-2020	NULL						
India	09-03-2020	NULL						
India	10-03-2020	NULL						
India	11-03-2020	NULL						
India	12-03-2020	NULL						
India	13-03-2020	NULL						
India	14-03-2020	NULL						
India	15-03-2020	NULL						
India	16-03-2020	NULL						
India	17-03-2020	NULL						
India	18-03-2020	NULL						
India	19-03-2020	NULL						
India	20-03-2020	NULL						
India	21-03-2020	NULL						
India	22-03-2020	NULL						
India	23-03-2020	NULL						
India	24-03-2020	NULL						
India	25-03-2020	NULL						
India	26-03-2020	NULL						
India	27-03-2020	NULL						
India	28-03-2020	NULL						
India	29-03-2020	NULL						
India	30-03-2020	NULL						
India	31-03-2020	NULL						
India	01-04-2020	NULL						
India	02-04-2020	NULL						
India	03-04-2020	NULL						
India	04-04-2020	NULL						
India	05-04-2020	NULL						
India	06-04-2020	NULL						
India	07-04-2020	NULL						
India	08-04-2020	NULL						
India	09-04-2020	NULL						
India	10-04-2020	NULL						
India	11-04-2020	NULL						
India	12-04-2020	NULL						
India	13-04-2020	NULL						
India	14-04-2020	NULL						
India	15-04-2020	NULL						
India	16-04-2020	NULL						
India	17-04-2020	NULL						
India	18-04-2020	NULL						
India	19-04-2020	NULL						
India	20-04-2020	NULL						
India	21-04-2020	NULL						
India	22-04-2020	NULL						
India	23-04-2020	NULL						
India	24-04-2020	NULL						
India	25-04-2020	NULL						
India	26-04-2020	NULL						
India	27-04-2020	NULL						
India	28-04-2020	NULL						
India	29-04-2020	NULL						
India	30-04-2020	NULL						
India	01-05-2020	NULL						
India	02-05-2020	NULL						
India	03-05-2020	NULL						
India	04-05-2020	NULL						
India	05-05-2020	NULL						
India	06-05-2020	NULL						
India	07-05-2020	NULL						
India	08-05-2020	NULL						
India	09-05-2020	NULL						
India	10-05-2020	NULL						
India	11-05-2020	NULL						
India	12-05-2020	NULL						
India	13-05-2020	NULL						
India	14-05-2020	NULL						
India	15-05-2020	NULL						
India	16-05-2020	NULL						
India	17-05-2020	NULL						
India	18-05-2020	NULL						
India	19-05-2020	NULL						
India	20-05-2020	NULL						
India	21-05-2020	NULL						
India	22-05-2020	NULL						
India	23-05-2020	NULL						
India	24-05-2020	NULL						
India	25-05-2020	NULL						
India	26-05-2020	NULL						
India	27-05-2020	NULL						
India	28-05-2020	NULL						
India	29-05-2020	NULL						
India	30-05-2020	NULL						
India	31-05-2020	NULL						
India	01-06-2020	NULL						
India	02-06-2020	NULL						
India	03-06-2020	NULL						
India	04-06-2020	NULL						
India	05-06-2020	NULL						
India	06-06-2020	NULL						
India	07-06-2020	NULL						
India	08-06-2020	NULL						
India	09-06-2020	NULL						
India	10-06-2020	NULL						
India	11-06-2020	NULL						
India	12-06-2020	NULL						
India	13-06-2020	NULL						
India	14-06-2020	NULL						
India	15-06-2020	NULL						
India	16-06-2020	NULL						
India	17-06-2020	NULL						
India	18-06-2020	NULL						
India	19-06-2020	NULL						
India	20-06-2020	NULL						
India	21-06-2020	NULL						
India	22-06-2020	NULL						
India	23-06-2020	NULL						
India	24-06-2020	NULL						
India	25-06-2020	NULL						
India	26-06-2020	NULL						
India	27-06-2020	NULL						
India	28-06-2020	NULL						
India	29-06-2020	NULL						
India	30-06-2020	NULL						
India	01-07-2020	NULL						
India	02-07-2020	NULL						
India	03-07-2020	NULL						
India	04-07-2020	NULL						
India	05-07-2020	NULL						
India	06-07-2020	NULL						
India	07-07-2020	NULL						
India	08-07-2020	NULL						
India	09-07-2020	NULL						
India	10-07-2020	NULL						
India	11-07-2020	NULL						
India	12-07-2020	NULL						
India	13-07-2020	NULL						
India	14-07-2020	NULL						
India	15-07-2020	NULL						
India	16-07-2020	NULL						
India	17-07-2020	NULL						
India	18-07-2020	NULL						
India	19-07-2020	NULL						
India	20-07-2020	NULL						
India	21-07-2020	NULL						
India	22-07-2020	NULL						
India	23-07-2020	NULL						
India	24-07-2020	NULL						
India	25-07-2020	NULL						
India	26-07-2020	NULL						
India	27-07-2020	NULL						
India	28-07-2020	NULL						
India	29-07-2020	NULL						
India	30-07-2020	NULL						
India	31-07-2020	NULL						
India	01-08-2020	NULL						
India	02-08-2020	NULL						
India	03-08-2020	NULL						
India	04-08-2020	NULL						
India	05-08-2020	NULL						
India	06-08-2020	NULL						
India	07-08-2020	NULL						
India	08-08-2020	NULL						
India	09-08-2020	NULL						
India	10-08-2020	NULL						
India	11-08-2020	NULL						
India	12-08-2020	NULL						
India	13-08-2020	NULL						
India	14-08-2020	NULL						
India	15-08-2020	NULL						
India	16-08-2020	NULL						
India	17-08-2020	NULL						
India	18-08-2020	NULL						
India	19-08-2020	NULL						
India	20-08-2020	NULL						
India	21-08-2020	NULL						
India	22-08-2020	NULL						
India	23-08-2020	NULL						
India	24-08-2020	NULL						
India	25-08-2020	NULL						
India	26-08-2020	NULL						
India	27-08-2020	NULL						
India	28-08-2020	NULL						
India	29-08-2020	NULL						
India	30-08-2020	NULL						
India	31-08-2020	NULL						
India	01-09-2020	NULL						
India	02-09-2020	NULL						
India	03-09-2020	NULL						
India	04-09-2020	NULL						
India	05-09-2020	NULL						
India	06-09-2020	NULL						
India	07-09-2020	NULL						
India	08-09-2020	NULL						
India	09-09-2020	NULL						
India	10-09-2020	NULL						
India	11-09-2020	NULL						
India	12-09-2020	NULL						
India	13-09-2020	NULL						
India	14-09-2020	NULL						
India	15-09-2020	NULL						
India	16-09-2020	NULL						
India	17-09-2020	NULL						
India	18-09-2020	NULL						
India	19-09-2020	NULL						
India	20-09-2020	NULL						
India	21-09-2020	NULL						
India	22-09-2020	NULL						
India	23-09-2020	NULL						
India	24-09-2020	NULL						
India	25-09-2020	NULL						
India	26-09-2020	NULL						
India	27-09-2020	NULL						
India	28-09-2020	NULL						
India	29-09-2020	NULL						
India	30-09-2020	NULL						
India	01-10-2020	NULL						
India	02-10-2020	NULL						
India	03-10-2020	NULL						
India	04-10-2020	NULL						
India	05-10-2020	NULL						
India	06-10-2020	NULL						
India	07-10-2020	NULL						
India	08-10-2020	NULL						
India	09-10-2020	NULL						
India	10-10-2020	NULL						
India	11-10-2020	NULL						
India	12-10-2020	NULL						
India	13-10-2020	NULL						
India	14-10-2020	NULL						
India	15-10-2020	NULL						
India	16-10-2020	NULL						
India	17-10-2020	NULL						
India	18-10-2020	NULL						
India	19-10-2020	NULL						
India	20-10-2020	NULL						
India	21-10-2020	NULL						
India	22-10-2020	NULL						
India	23-10-2020	NULL						
India	24-10-2020	NULL						
India	25-10-2020	NULL						
India	26-10-2020	NULL						
India	27-10-2020	NULL						
India	28-10-2020	NULL						
India	29-10-2020	NULL						
India	30-10-2020	NULL						
India	31-10-2020	NULL						
India	01-11-2020	NULL						
India	02-11-2020	NULL						
India	03-11-2020	NULL						
India	04-11-2020	NULL						
India	05-11-2020	NULL						
India	06-11-2020	NULL						
India	07-11-2020	NULL						
India	08-11-2020	NULL						
India	09-11-2020	NULL						
India	10-11-2020	NULL						
India	11-11-2020	NULL						
India	12-11-2020	NULL						
India	13-11-2020	NULL						
India	14-11-2020	NULL						
India	15-11-2020	NULL						
India	16-11-2020	NULL						
India	17-11-2020	NULL						
India	18-11-2020	NULL						
